"id","name","cost_method","sale_ok","hr_expense_ok","purchase_ok","sale_layout_cat_id","management_fee","lst_price","categ_id","type","property_account_income","taxes_id","property_account_expense","supplier_taxes_id"
"base.hr_product_1","Team Building","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","502700 ค่าอบรมสัมนา",,"502700 ค่าอบรมสัมนา",
"base.hr_product_2","ค่ารถ - Team Building","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","502700 ค่าอบรมสัมนา",,"502700 ค่าอบรมสัมนา","PWHT1"
"base.hr_product_3","ค่าที่จอดรถ - Project","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5001-14 ต้นทุน - ค่าพาหนะ",,"5001-14 ต้นทุน - ค่าพาหนะ",
"base.hr_product_4","ค่าน้ำมัน - Project","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5001-14 ต้นทุน - ค่าพาหนะ",,"5001-14 ต้นทุน - ค่าพาหนะ",
"base.hr_product_5","ค่า TAXI - Project","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5001-14-1 ต้นทุน- ค่าTAXI",,"5001-14-1 ต้นทุน- ค่าTAXI",
"base.hr_product_6","ค่าทางด่วน - Project","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5001-14-2 ต้นทุน - ค่าทางด่วน",,"5001-14-2 ต้นทุน - ค่าทางด่วน",
"base.hr_product_7","ค่าที่จอดรถ - ส่วนกลาง","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","500700 ค่าใช้จ่ายพาหนะและเดินทาง",,"500700 ค่าใช้จ่ายพาหนะและเดินทาง",
"base.hr_product_8","ค่าน้ำมัน - ส่วนกลาง","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","500700 ค่าใช้จ่ายพาหนะและเดินทาง",,"500700 ค่าใช้จ่ายพาหนะและเดินทาง",
"base.hr_product_9","ค่า TAXI - ส่วนกลาง","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5007-1 ค่าใช้จ่าย - ค่า TAXI",,"5007-1 ค่าใช้จ่าย - ค่า TAXI",
"base.hr_product_10","ค่าทางด่วน - ส่วนกลาง","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","5007-2 ค่าใช้จ่าย - ค่าทางด่วน",,"5007-2 ค่าใช้จ่าย - ค่าทางด่วน",
"base.hr_product_11","ค่า TAXI - เดินทางอบรม","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","502700 ค่าอบรมสัมนา",,"502700 ค่าอบรมสัมนา",
"base.hr_product_12","ค่าทางด่วน - เดินทางอบรม","Standard Price","FALSE","TRUE","FALSE",,,,"HR Products","service","502700 ค่าอบรมสัมนา",,"502700 ค่าอบรมสัมนา",
"base.product_homepro_1","ค่าบริการส่วนกลาง","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-26 รายได้ - ค่าบริการส่วนกลาง","DS7,IWHT3",,
"base.product_homepro_2","ค่าบริการโทรศัพท์ชั่วคราว","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-27 รายได้ - ค่าบริการโทรศัพท์","DS7,IWHT3",,
"base.product_homepro_3","ค่าจ่ายน้ำ และน้ำทิ้ง","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-28 รายได้ - ค่าบริการจ่ายน้ำและน้ำทิ้ง","DS7,IWHT3",,
"base.product_homepro_4","ค่าบริการคูหามาตรฐาน","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-29 รายได้ - ค่าติดตั้งบูธ","DS7,IWHT3",,
"base.product_homepro_5","ค่าอุปกรณ์ไฟก่อสร้างและรื้อถอน","Standard Price","TRUE","FALSE","FALSE","Homepro",,,"Homepro","service","4013-31 รายได้ - ค่าไฟก่อสร้างรื้อถอน","DS7,IWHT3",,
