"id","code","name"
"cmo_project.operating_unit_ceo","CEO","CEO OFFICE(CEO)"
"cmo_project.operating_unit_cmex","CMEX","CMEX"
"cmo_project.operating_unit_museum","Museum","Museum"
"cmo_project.operating_unit_it","IT","Information Technology"
"cmo_project.operating_unit_odyssey","Odyssey","Odyssey"
"cmo_project.operating_unit_cm_play","CM Play","CM Play"
"cmo_project.operating_unit_cm_join","CM Join","CM Join"
"cmo_project.operating_unit_bd","BD","Business Development"
"cmo_project.operating_unit_cm_one","CM One","CM One"
"cmo_project.operating_unit_fa","FA","Finance&Accounting"
"cmo_project.operating_unit_hr","HR","Human Resource"
"cmo_project.operating_unit_fm","FM","Facility Management"
"cmo_project.operating_unit_it_issue","IT ISSUE","IT ISSUE"
"cmo_project.operating_unit_fm_issue","FM ISSUE","FM ISSUE"
"cmo_project.operating_unit_legal","Legal","Legal"
"cmo_project.operating_unit_internal_audit","Internal Audit","Internal Audit"
"cmo_project.operating_unit_bangkok_suplture","Bangkok Sculpture","Bangkok Sculpture"
"cmo_project.operating_unit_cooperate_communication","Corporate Communications","Corporate Communications"
,,
"เอาให้ครบทุก OU และใส่โค้ดตามบัญชี",,
